record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265344%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D4%7CPb%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265344%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D4,s_ST241 [21659],Pb,8.51,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=4,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265344%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D4%7CZn%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265344%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D4,s_ST241 [21659],Zn,88,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=4,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265345%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D5%7CCu%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265345%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D5,s_ST254 [21659],Cu,23.2,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=5,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265345%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D5%7CNi%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265345%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D5,s_ST254 [21659],Ni,8.61,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=5,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265345%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D5%7CPb%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265345%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D5,s_ST254 [21659],Pb,21.6,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=5,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265345%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D5%7CZn%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265345%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D5,s_ST254 [21659],Zn,16.5,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=5,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265346%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D6%7CCu%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265346%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D6,s_ST264 [21659],Cu,12.4,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=6,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265346%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D6%7CNi%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265346%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D6,s_ST264 [21659],Ni,2.54,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=6,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265346%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D6%7CPb%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265346%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D6,s_ST264 [21659],Pb,10.8,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=6,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cgeoroc-antarctica-intraplate%7Csrc-source-record-v2%257Cgeoroc-antarctica-intraplate%257C1265346%257C2026-06-RZZ9VM_ANTARCTICA.csv%2523row%253D6%7CZn%7C,src-source-record-v2%7Cgeoroc-antarctica-intraplate%7C1265346%7C2026-06-RZZ9VM_ANTARCTICA.csv%23row%3D6,s_ST264 [21659],Zn,42.9,ppm,rock,GEOROC_precompiled_selected_value,,,,-72.1,-0.3,EPSG:4326,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,2026-06-RZZ9VM_ANTARCTICA.csv#row=6,,,,,WR,rock_whole_rock,dataset_constant,,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,,,,,not_reported,,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
