item_id,record_id,source_id,stage_owner,severity,status,issue_code,field,observed_value,detail,recommended_action,auto_recheck
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000012%3APb_AAS%3APb%3A0|NORMALIZATION_FAILED|normalized_value|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000012:Pb_AAS:Pb:0,cdogs-210102-lake-sediment,D2,error,action_required,NORMALIZATION_FAILED,normalized_value,,非删失测定没有可用标准值。,检查原值解析、单位词表、物质基准和换算公式；不能证明可换算时保留失败状态，不得猜值。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000012%3APb_AAS%3APb%3A0|QC_ERROR_REVIEW|qc_flags|INVALID_NUMERIC_VALUE,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000012:Pb_AAS:Pb:0,cdogs-210102-lake-sediment,D2,error,action_required,QC_ERROR_REVIEW,qc_flags,INVALID_NUMERIC_VALUE,记录含错误级或不可支持的 QC 标志：INVALID_NUMERIC_VALUE,按 QC 规则修复源字段或映射；修复前保持排除，不要删除原始记录。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000012%3AZn_AAS%3AZn%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000012:Zn_AAS:Zn:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000012%3AZn_AAS%3AZn%3A0|NORMALIZATION_FAILED|normalized_value|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000012:Zn_AAS:Zn:0,cdogs-210102-lake-sediment,D2,error,action_required,NORMALIZATION_FAILED,normalized_value,,非删失测定没有可用标准值。,检查原值解析、单位词表、物质基准和换算公式；不能证明可换算时保留失败状态，不得猜值。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000012%3AZn_AAS%3AZn%3A0|QC_ERROR_REVIEW|qc_flags|INVALID_NUMERIC_VALUE,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000012:Zn_AAS:Zn:0,cdogs-210102-lake-sediment,D2,error,action_required,QC_ERROR_REVIEW,qc_flags,INVALID_NUMERIC_VALUE,记录含错误级或不可支持的 QC 标志：INVALID_NUMERIC_VALUE,按 QC 规则修复源字段或映射；修复前保持排除，不要删除原始记录。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000013%3AAs_Col%3AAs%3A0|CENSORED_OBSERVATION|censored|lt,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000013:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,scientific_limit,CENSORED_OBSERVATION,censored,lt,这是检出限/定量限约束的删失观测，不等同于零，也不自动视为采集失败。,保留原始 qualifier 与 censoring limit；默认从普通相关和异常筛查中排除，或使用明确的删失统计模型。,false
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000013%3AAs_Col%3AAs%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000013:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000013%3ACu_AAS%3ACu%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000013:Cu_AAS:Cu:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000013%3AHg_AAS%3AHg%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000013:Hg_AAS:Hg:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000013%3ANi_AAS%3ANi%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000013:Ni_AAS:Ni:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
