record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-35d81b225d50817c8c1d71b049238709580b53dbda5f35b0edc6dd11eb584cc1,src-26200cf5a442a819eaaaa779515c6c175824f9d14b44be858d60a5e846c1a85b,s_SDK-SB-1 [29078],Cu,Cu,947.034774279757,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,2,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=2,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-f7deb9585a5555530143d063e87908e13f2a0bcfb778e67197429531f844b5ee,src-26200cf5a442a819eaaaa779515c6c175824f9d14b44be858d60a5e846c1a85b,s_SDK-SB-1 [29078],Ni,Ni,165.818570659827,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,2,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=2,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-98ff7769c2d23f736df3b1cec47b36c8c2a1bc6f8be9bb13e8831515ada43b13,src-26200cf5a442a819eaaaa779515c6c175824f9d14b44be858d60a5e846c1a85b,s_SDK-SB-1 [29078],Zn,Zn,83.4495832432067,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,2,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=2,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-c161fc1a92e9e4658acbeaca09f3c5b601af566559606b50f427c30dcf0c71fa,src-8c86c295a14fa624c6d375e28636527bd17f0c958d7000148a50829953327030,s_SDK-SB-2 [29078],Cu,Cu,890.916627370357,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,3,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=3,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-8375d0051b33e64f1bc3ea4684f3fabe72c10dd987879bc869873b717e194fc0,src-8c86c295a14fa624c6d375e28636527bd17f0c958d7000148a50829953327030,s_SDK-SB-2 [29078],Ni,Ni,153.186146277747,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,3,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=3,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-62cf88f530c983a4cc143efbe694aa0cef8fd416a779d98f83882b7579269c5d,src-8c86c295a14fa624c6d375e28636527bd17f0c958d7000148a50829953327030,s_SDK-SB-2 [29078],Zn,Zn,90.24959989394,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,3,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=3,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-d0d2538cebd73f7c8d2a0f1d775f3dc15a896483209544249a3bc0582e9be364,src-cf127b7d4f6bcedb9bec33902012644fffb5eaf9893c41a1a13b26682b3f5f16,s_SDK-SB-3 [29078],Cu,Cu,536.331831491995,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,4,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=4,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-8d3298aaadb508aabba302322573c2f7a2a61846c96ea7f64bb86079a2391aec,src-cf127b7d4f6bcedb9bec33902012644fffb5eaf9893c41a1a13b26682b3f5f16,s_SDK-SB-3 [29078],Ni,Ni,177.005677100938,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,4,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=4,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-d1aa376381bfc21d8922e7cc208eb128575214db8aa28dec9c74fca4b3be0d84,src-cf127b7d4f6bcedb9bec33902012644fffb5eaf9893c41a1a13b26682b3f5f16,s_SDK-SB-3 [29078],Zn,Zn,69.1195256524559,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,4,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=4,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-7dae5f6e740ffdb1a963b27dba9afffee5cd94e5575e4f19c67cf45e74850b22,src-ac8de8d9deea4662780f10f6e1325e312cf76e286de23cd8172ca82e0fe82c8f,s_SDK-SB-4 [29078],Cu,Cu,406.466161764299,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,5,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=5,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-d3749097e586bb00b2a7f47fee6763493d19498d8a64f1695e61f05ed98ceba1,src-ac8de8d9deea4662780f10f6e1325e312cf76e286de23cd8172ca82e0fe82c8f,s_SDK-SB-4 [29078],Ni,Ni,176.423612852394,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,5,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=5,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-a6e6493ca9509a0e024da629a625727e45256b236200b7a27a11346da902f06d,src-ac8de8d9deea4662780f10f6e1325e312cf76e286de23cd8172ca82e0fe82c8f,s_SDK-SB-4 [29078],Zn,Zn,91.3909248783883,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.2706,61.5842,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,5,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=5,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC,,,,NOT GIVEN [29078],,,,,,,,,CENOZOIC [29078],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29078""]",doi:10.1016/j.lithos.2024.107829,10.1016/j.lithos.2024.107829,"[""[29078] WANG LU, WANG ZI-XUAN, ZHENG YUAN-CHUAN, HOU ZENGQIAN, YANG ZHUSEN, WU CHANG-DA, LI XIN:    CONSTRAINTS OF UPPER CRUST MAGMATIC PROCESSES ON THE FORMATION OF SAINDAK PORPHYRY CU DEPOSIT: INSIGHTS FROM MINERAL GEOCHEMISTRY  LITHOS 488-489 (107829)  [2024]    doi: 10.1016/j.lithos.2024.107829""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-f7bc86e9ecec5ada98cfb138b14ef1a25501d180c4d0ca333bced0cd196c23fb,src-aea389c191e48b13653c034ef4202538dbd3750d64e9834ac5303918dcc025ca,s_GD-2 [29314],Cu,Cu,700.39592332839,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.35445,61.72276,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,6,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=6,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC / PAKISTAN,,,,GRANODIORITE [29314],,,,,,,,,PALEOGENE [29314],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29314""]",doi:10.1016/j.lithos.2024.107919,10.1016/j.lithos.2024.107919,"[""[29314] WANG XIAOYU, LI WEN-CHANG, ROMER R. L., YANG FUCHENG, LI JIANGYONG, LIU KE, ZHANG ZHIJUN, YAN LIWEI:    GENESIS AND GEODYNAMIC SETTING OF GRANITOIDS AT THE GIANT SIAHDIK S1 PORPHYRY CU-AU DEPOSIT, CHAGAI BELT, WESTERN PAKISTAN  LITHOS 494-495 (107919)  [2025]    doi: 10.1016/j.lithos.2024.107919""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-074b9fb6543be56f4dfb18278e8f613cee021dddfa3869b186b20f6b1f2c6b20,src-aea389c191e48b13653c034ef4202538dbd3750d64e9834ac5303918dcc025ca,s_GD-2 [29314],Ni,Ni,16.8675912147317,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.35445,61.72276,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,6,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=6,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC / PAKISTAN,,,,GRANODIORITE [29314],,,,,,,,,PALEOGENE [29314],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29314""]",doi:10.1016/j.lithos.2024.107919,10.1016/j.lithos.2024.107919,"[""[29314] WANG XIAOYU, LI WEN-CHANG, ROMER R. L., YANG FUCHENG, LI JIANGYONG, LIU KE, ZHANG ZHIJUN, YAN LIWEI:    GENESIS AND GEODYNAMIC SETTING OF GRANITOIDS AT THE GIANT SIAHDIK S1 PORPHYRY CU-AU DEPOSIT, CHAGAI BELT, WESTERN PAKISTAN  LITHOS 494-495 (107919)  [2025]    doi: 10.1016/j.lithos.2024.107919""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-75459523619e3e76e84777e660f995c0d6bf907ef6cab1f920ba7c43a3a021ca,src-aea389c191e48b13653c034ef4202538dbd3750d64e9834ac5303918dcc025ca,s_GD-2 [29314],Zn,Zn,65.1128379334676,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,29.35445,61.72276,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-convergent-margins,GEOROC Compilation: Convergent Margins,10.25625/PVFZCE,12.0,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv,6,2026-06- PVFZCE_CHAGAI-RASKOH_BELT.csv#row=6,https://doi.org/10.25625/PVFZCE/OHII0D,b689a48c826764a6cff34426ef82007e83e9ccd75da691169e88a1a69866d8b9,,,,,,,,,WR,rock_whole_rock,dataset_constant,,CHAGAI-RASKOH BELT / CHAGAI ARC / PAKISTAN,,,,GRANODIORITE [29314],,,,,,,,,PALEOGENE [29314],CONVERGENT MARGIN,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,"[""29314""]",doi:10.1016/j.lithos.2024.107919,10.1016/j.lithos.2024.107919,"[""[29314] WANG XIAOYU, LI WEN-CHANG, ROMER R. L., YANG FUCHENG, LI JIANGYONG, LIU KE, ZHANG ZHIJUN, YAN LIWEI:    GENESIS AND GEODYNAMIC SETTING OF GRANITOIDS AT THE GIANT SIAHDIK S1 PORPHYRY CU-AU DEPOSIT, CHAGAI BELT, WESTERN PAKISTAN  LITHOS 494-495 (107919)  [2025]    doi: 10.1016/j.lithos.2024.107919""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
