record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-77c70b59d86804e2eab6c0d716549d36ce19d4180dab8cfe05eecb6ea09c1384,src-f179d95c3463f98ce1788d31a8e9038f13f89e24087b585958bbc3c5fb7e790e,AL1-1|O,Cr,Cr,18.9559163,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,2,Soil dataset.xlsx#sheet1-row=2,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d83cdccfe235aed15ba2d102ff3b72a77c38c0e31cd2255a884f0daf6554451c,src-f179d95c3463f98ce1788d31a8e9038f13f89e24087b585958bbc3c5fb7e790e,AL1-1|O,Cu,Cu,18.81300768,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,2,Soil dataset.xlsx#sheet1-row=2,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d72babaf44ca23b252478ba063fb84b5823588c464a4c4755ef4eece08a2fed5,src-f179d95c3463f98ce1788d31a8e9038f13f89e24087b585958bbc3c5fb7e790e,AL1-1|O,Ni,Ni,8.17407267,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,2,Soil dataset.xlsx#sheet1-row=2,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-36736e14b642087c519e872c9b9a9b9d186dea1e6a67efcba8cf7a7294e15a06,src-f179d95c3463f98ce1788d31a8e9038f13f89e24087b585958bbc3c5fb7e790e,AL1-1|O,Pb,Pb,36.67421791,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,2,Soil dataset.xlsx#sheet1-row=2,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c7b244814442bf687611e763908e1be652b9f5664bc160bc6c2d54b6a18c4114,src-f179d95c3463f98ce1788d31a8e9038f13f89e24087b585958bbc3c5fb7e790e,AL1-1|O,Zn,Zn,39.75180754,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-AES (PerkinElmer Optima 2000),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,2,Soil dataset.xlsx#sheet1-row=2,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-AES (PerkinElmer Optima 2000),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d87a0bb0e89a00d12c9d07d3ab5d32f21c5d0c6fce7b4119eff4b2a6406e145c,src-550ac228a983287472c4fa2de5be2d546ab60be5566b8b2f0c43355375eae0fb,AL1-1|A,Cr,Cr,55.84411553,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,3,Soil dataset.xlsx#sheet1-row=3,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,A,soil_a_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-8e5080e33a36ad2fb3b44bfdd976ada182046ce9f68a898b27225b328da91ccd,src-550ac228a983287472c4fa2de5be2d546ab60be5566b8b2f0c43355375eae0fb,AL1-1|A,Cu,Cu,22.43118242,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,3,Soil dataset.xlsx#sheet1-row=3,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,A,soil_a_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-0b5f36dfbb6f16b7f1ce82475ba72e15105180a30eb7b35cb0f08e676b68e911,src-550ac228a983287472c4fa2de5be2d546ab60be5566b8b2f0c43355375eae0fb,AL1-1|A,Ni,Ni,17.43750602,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,3,Soil dataset.xlsx#sheet1-row=3,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,A,soil_a_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-3292f0b44e013f75bb3e6da5f0de770f14c23a9a53021cc2a1ee68da220979c8,src-550ac228a983287472c4fa2de5be2d546ab60be5566b8b2f0c43355375eae0fb,AL1-1|A,Pb,Pb,49.30315406,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,3,Soil dataset.xlsx#sheet1-row=3,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,A,soil_a_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-7ec7feed205c305274bf4c5e663c404a34f0bed53c2789df065917203fdf21f1,src-550ac228a983287472c4fa2de5be2d546ab60be5566b8b2f0c43355375eae0fb,AL1-1|A,Zn,Zn,34.17537681,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-AES (PerkinElmer Optima 2000),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,3,Soil dataset.xlsx#sheet1-row=3,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,A,soil_a_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-AES (PerkinElmer Optima 2000),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-3c8b9bcdb740b5a399b42ca66da5b79e6f1ce910021fcaa8e9c873bb1db4927b,src-147724cd391f011bd714ff6d69f90e69593486b70bcc3ecdd656262535988966,AL1-1|C,Cr,Cr,99.99969226,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,4,Soil dataset.xlsx#sheet1-row=4,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,C,soil_c_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,C,C,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-3d3241c4ce9cbd2b8cf3abda6faa56f92bb5a86f6d946112e2d83ccfc492cab2,src-147724cd391f011bd714ff6d69f90e69593486b70bcc3ecdd656262535988966,AL1-1|C,Cu,Cu,32.77009594,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,4,Soil dataset.xlsx#sheet1-row=4,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,C,soil_c_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,C,C,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-5ed83d47ccc5f7bf15c30946057fe37167ca76694b511e0253b35eae0af28082,src-147724cd391f011bd714ff6d69f90e69593486b70bcc3ecdd656262535988966,AL1-1|C,Ni,Ni,41.85384863,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,4,Soil dataset.xlsx#sheet1-row=4,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,C,soil_c_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,C,C,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f848f43dc51613960280b4c146d6c7c0de6ae9d84acc6825509e40200a3ab95c,src-147724cd391f011bd714ff6d69f90e69593486b70bcc3ecdd656262535988966,AL1-1|C,Pb,Pb,24.34543002,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,4,Soil dataset.xlsx#sheet1-row=4,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,C,soil_c_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,C,C,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-329f9c8c0487a02a7db03a23c965d0d830d0e886cf6706e3282218c9941938ee,src-147724cd391f011bd714ff6d69f90e69593486b70bcc3ecdd656262535988966,AL1-1|C,Zn,Zn,66.90938787,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-AES (PerkinElmer Optima 2000),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,4,Soil dataset.xlsx#sheet1-row=4,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,C,soil_c_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,C,C,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-AES (PerkinElmer Optima 2000),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-cebccc13c3776f8051a1d469ad06c1a250a501e2956dbbf0f2d1a6cf974d62fd,src-af6a2f529f3805cfdc6f097d22c02198075f11d1b512843897b993e1b14a5ff1,AL1-2|O,Cr,Cr,28.53868701,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,5,Soil dataset.xlsx#sheet1-row=5,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-acbf299386fe7046f14b65c89131154e30b756e12bee3f39964d89c8ba657e7a,src-af6a2f529f3805cfdc6f097d22c02198075f11d1b512843897b993e1b14a5ff1,AL1-2|O,Cu,Cu,13.90534475,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,5,Soil dataset.xlsx#sheet1-row=5,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-1250900cc135675df6a4d88a684502f704d821c9418ae25ff3189e706c8970c2,src-af6a2f529f3805cfdc6f097d22c02198075f11d1b512843897b993e1b14a5ff1,AL1-2|O,Ni,Ni,9.901539015,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,24.5333,101.0328,,,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx,5,Soil dataset.xlsx#sheet1-row=5,923da5a896c0f403d227799cb04d565f75d641d5c81290889fcaddaa42ff593d,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,not_reported,publication,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
