record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,soil_horizon_missing_reason,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-1776b5f5091a37c3bf9a4e6a217dd7032c195e282a293df83a240ed0ab6000be,src-9599d8fdf1bd51304b1e91e5a97622a3d46e0ccae798c7af6a0b02f55a391d6b,N19W10F1,As,2.5,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,5,mg/kg,27.82639699,-15.45288278,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=4,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-0f62c5cac467f834875f55c6decccb3508f08c099842dbf1918831146e2b2594,src-9599d8fdf1bd51304b1e91e5a97622a3d46e0ccae798c7af6a0b02f55a391d6b,N19W10F1,Cu,21,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,27.82639699,-15.45288278,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=4,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d06ba581d1d1ebf2b154d44d500b392384ce08d36f2f49f19fdceada9ee7300c,src-9599d8fdf1bd51304b1e91e5a97622a3d46e0ccae798c7af6a0b02f55a391d6b,N19W10F1,Ni,56,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,2,mg/kg,27.82639699,-15.45288278,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=4,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-948093ea0159b919cb970d297cf92018fdc6d7c35bcaec20dbfecc9b082c8ae3,src-9599d8fdf1bd51304b1e91e5a97622a3d46e0ccae798c7af6a0b02f55a391d6b,N19W10F1,Zn,109,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,27.82639699,-15.45288278,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=4,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c5e9aa10f6f6084771cabe7086bc72230f3bca11ffae95781491499c4ea8406f,src-bfa0a090e31cb5dbe9ba87635307ac9551e7353ea5b8bf218af63773af84edfe,N24E14F1,As,5,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,5,mg/kg,35.531477777,23.824823052,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=5,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-5a3f430ca9c10c7930c2569f6e96256c9a09d6b73a0d30a76b5f93a948cb551d,src-bfa0a090e31cb5dbe9ba87635307ac9551e7353ea5b8bf218af63773af84edfe,N24E14F1,Cu,21,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,35.531477777,23.824823052,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=5,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9e9f3c640aded1f339c812184150e6fd8e6e695537bc021ea0617b70548625bb,src-bfa0a090e31cb5dbe9ba87635307ac9551e7353ea5b8bf218af63773af84edfe,N24E14F1,Ni,19,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,2,mg/kg,35.531477777,23.824823052,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=5,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-52130efb2ce0e02611c2dbb1093f12458428fa081e5b1a811b8b4f3d8e9183fd,src-bfa0a090e31cb5dbe9ba87635307ac9551e7353ea5b8bf218af63773af84edfe,N24E14F1,Zn,35,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,35.531477777,23.824823052,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=5,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-6860ecd89db2196dd81fb604e6d029543986720c2c97c9d7f09bceeca483c9c4,src-225a79cfb41aa9c23782f45386eb4a73c81aeaceaca7d9fab118ae816c8f812b,N24E15F2,As,18,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,5,mg/kg,35.412341912,24.646516544,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=6,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-795f5ea94afc5c5421a22e78f5bb00f9ad5a28c24e749344d0adf5c5ce9f2006,src-225a79cfb41aa9c23782f45386eb4a73c81aeaceaca7d9fab118ae816c8f812b,N24E15F2,Cu,38,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,35.412341912,24.646516544,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=6,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-43b55d5e1e60431d1b300990eef16f89347c9dc35222baeee359672941351d57,src-225a79cfb41aa9c23782f45386eb4a73c81aeaceaca7d9fab118ae816c8f812b,N24E15F2,Ni,119,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,2,mg/kg,35.412341912,24.646516544,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=6,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-dc3b93625e624994521faa392e0348839be1880eff32d0ccccc840411a5a942a,src-225a79cfb41aa9c23782f45386eb4a73c81aeaceaca7d9fab118ae816c8f812b,N24E15F2,Zn,75,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,35.412341912,24.646516544,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=6,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-50fc4c9dd9e02c0b72298b8273a8c6433abe217ff9b32909945b073f6c0eaed7,src-722119fae26f02a09d1ff75ab9b7c7e79230cb3fd7d30b67c37fed110b46a046,N24E15F4,As,5,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,5,mg/kg,34.988315269,25.332988602,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=7,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=7,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-b80ac84c049007013409ea1ff39a3c133e293ba58bd0aa607d5d8849d6393f38,src-722119fae26f02a09d1ff75ab9b7c7e79230cb3fd7d30b67c37fed110b46a046,N24E15F4,Cu,27,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,1,mg/kg,34.988315269,25.332988602,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=7,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=7,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-27e79d6b2836343ed1a4cd1b930e02b90cc376c8d2606e81368bd35544787404,src-722119fae26f02a09d1ff75ab9b7c7e79230cb3fd7d30b67c37fed110b46a046,N24E15F4,Ni,109,mg/kg,sediment,aqua_regia_leachable_<2mm_floodplain_sediment,,2,mg/kg,34.988315269,25.332988602,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-floodplain-sediment,F_AR_data_2v6_7Aug07.csv#row=7,,0,0.25,<2 mm; pulverized <0.063 mm,floodplain sediment from a larger drainage basin,sediment_floodplain,dataset_constant,,,,,,,,,,,,floodplain,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,F_AR_data_2v6_7Aug07.csv#row=7,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
