record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-6acaa736784a2314bac5da05738fa8a70e99dd37e90dfa3c6220abdc25159e1d,src-17ca47224f883f120bf68a2718565905ca0de5d250c9baf1288e468b7d9c3da7,2007190823002 Fine,As,As,0.9,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; BOS,,,0.4,mg/kg,-41.6596,144.9343,-41.6596,144.9343,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,4086,Rec2011_020_110706.csv#row=4086,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,6/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,BOS,sediment_outlet_bottom,exact,,TAS / 2007190823,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-b0502801d78553218dd50ab0ad03a2222a2031a1f392f1dc93e74eecda5bf3a4,src-17ca47224f883f120bf68a2718565905ca0de5d250c9baf1288e468b7d9c3da7,2007190823002 Fine,Cu,Cu,2.7,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; BOS,,,0.2,mg/kg,-41.6596,144.9343,-41.6596,144.9343,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,4086,Rec2011_020_110706.csv#row=4086,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,6/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,BOS,sediment_outlet_bottom,exact,,TAS / 2007190823,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-e0e3936f18dd8f45300b939344e3c5d300ab050f97609c290c9ab7dad74c183c,src-17ca47224f883f120bf68a2718565905ca0de5d250c9baf1288e468b7d9c3da7,2007190823002 Fine,Pb,Pb,7.87,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; BOS,,,0.1,mg/kg,-41.6596,144.9343,-41.6596,144.9343,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,4086,Rec2011_020_110706.csv#row=4086,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,6/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,BOS,sediment_outlet_bottom,exact,,TAS / 2007190823,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-79e3281f10e47b3d54b9cf4915220c8f581980e0c31428b3abaceef66a918d0a,src-17ca47224f883f120bf68a2718565905ca0de5d250c9baf1288e468b7d9c3da7,2007190823002 Fine,Zn,Zn,8.8,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; BOS,,,0.9,mg/kg,-41.6596,144.9343,-41.6596,144.9343,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,4086,Rec2011_020_110706.csv#row=4086,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,6/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,BOS,sediment_outlet_bottom,exact,,TAS / 2007190823,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-59daa8ecef6e94fb03d25ca265f23727ef4bc5fa7af48e8ee6ab11c9e2bf0849,src-3c9617d27b91c963e58f62d076a1b1c6f054b4c437133704329ef6833ac5c3a8,2007190136001 Fine,As,As,5.5,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.4,mg/kg,-41.5040,147.0589,-41.5040,147.0589,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,693,Rec2011_020_110706.csv#row=693,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,7/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,TAS / 2007190136,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-1c81aaee20ef75b21cf7fc95bdb710b881becfdd2036711d28c5341f52739a00,src-3c9617d27b91c963e58f62d076a1b1c6f054b4c437133704329ef6833ac5c3a8,2007190136001 Fine,Cu,Cu,30,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.2,mg/kg,-41.5040,147.0589,-41.5040,147.0589,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,693,Rec2011_020_110706.csv#row=693,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,7/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,TAS / 2007190136,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-0873b6e1f4d18ba8a277d0416468241b9095f1c8b630a239a4b725f24b3362a4,src-3c9617d27b91c963e58f62d076a1b1c6f054b4c437133704329ef6833ac5c3a8,2007190136001 Fine,Pb,Pb,22.36,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.1,mg/kg,-41.5040,147.0589,-41.5040,147.0589,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,693,Rec2011_020_110706.csv#row=693,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,7/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,TAS / 2007190136,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-1006053081a1fce88ad505806430672796cf15f00a6504fcc4e9d735f21af644,src-3c9617d27b91c963e58f62d076a1b1c6f054b4c437133704329ef6833ac5c3a8,2007190136001 Fine,Zn,Zn,153.8,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.9,mg/kg,-41.5040,147.0589,-41.5040,147.0589,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,693,Rec2011_020_110706.csv#row=693,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,7/02/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,TAS / 2007190136,TAS,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-e4735fad7d0d8c0d580f6a70ce1cfe99eb5b0e6f661df148e15403d16e71e5e5,src-029ec308aa7bd3e5ba700dad64ab49cd1134396ba047d93cb94521ee5a616e70,2007190744001 Fine,As,As,6.6,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.4,mg/kg,-36.2237,139.7805,-36.2237,139.7805,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,3705,Rec2011_020_110706.csv#row=3705,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,12/05/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,SA / 2007190744,SA,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-ca610c376621d6782a79fd28444fe7ad8bee02586423e6cb0b27608a53434b99,src-029ec308aa7bd3e5ba700dad64ab49cd1134396ba047d93cb94521ee5a616e70,2007190744001 Fine,Cu,Cu,7.3,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.2,mg/kg,-36.2237,139.7805,-36.2237,139.7805,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,3705,Rec2011_020_110706.csv#row=3705,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,12/05/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,SA / 2007190744,SA,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-3e367350d3489708be6237c84558eb3a13cadd22c5f8ad2dae7962f5dfc514d0,src-029ec308aa7bd3e5ba700dad64ab49cd1134396ba047d93cb94521ee5a616e70,2007190744001 Fine,Pb,Pb,1.86,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.1,mg/kg,-36.2237,139.7805,-36.2237,139.7805,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,3705,Rec2011_020_110706.csv#row=3705,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,12/05/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,SA / 2007190744,SA,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-379e38d3968185cfeac446ad12af3bb10fa8367a271c4fa08d4f6c80eabcce14,src-029ec308aa7bd3e5ba700dad64ab49cd1134396ba047d93cb94521ee5a616e70,2007190744001 Fine,Zn,Zn,3.8,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.9,mg/kg,-36.2237,139.7805,-36.2237,139.7805,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,3705,Rec2011_020_110706.csv#row=3705,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,12/05/2008,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,SA / 2007190744,SA,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-54244f27449506735870a9b66485856fd13d89498bb54233f91cac4b2af89571,src-faf353730dee1acdf287aaea8e131633e8c5590a9dd9f933fea8e2d8b10705f8,2007190014001 Fine,As,As,9.3,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.4,mg/kg,-35.7518,143.6603,-35.7518,143.6603,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,81,Rec2011_020_110706.csv#row=81,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,22/10/2007,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,VIC / 2007190014,VIC,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-140364831101ac3fd5dcf3b1a18c3df0fa43d3a421e37b0e730028478885f413,src-faf353730dee1acdf287aaea8e131633e8c5590a9dd9f933fea8e2d8b10705f8,2007190014001 Fine,Cu,Cu,23.6,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.2,mg/kg,-35.7518,143.6603,-35.7518,143.6603,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,81,Rec2011_020_110706.csv#row=81,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,22/10/2007,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,VIC / 2007190014,VIC,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-5bcd1658e12580fbdedc47af09bcd4b85c1fa82dd67de98feabed79f909e3366,src-faf353730dee1acdf287aaea8e131633e8c5590a9dd9f933fea8e2d8b10705f8,2007190014001 Fine,Pb,Pb,23.47,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.1,mg/kg,-35.7518,143.6603,-35.7518,143.6603,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,81,Rec2011_020_110706.csv#row=81,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,22/10/2007,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,VIC / 2007190014,VIC,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-492aeebf7b20552f2b0fcfe5018ad8f97bea67a67cd2f3b2550eaced0c0b186f,src-faf353730dee1acdf287aaea8e131633e8c5590a9dd9f933fea8e2d8b10705f8,2007190014001 Fine,Zn,Zn,43.6,mg/kg,sediment,,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,,,0.9,mg/kg,-35.7518,143.6603,-35.7518,143.6603,,,,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,not stated at row level,CC-BY-3.0-AU,government,australia-ngsa,National Geochemical Survey of Australia: Geochemical Atlas dataset,10.11636/Record.2011.020,2011-07-06,Rec2011_020_110706.csv,81,Rec2011_020_110706.csv#row=81,https://d28rz98at9flks.cloudfront.net/82869/Rec2011_020_110706.csv,d9fa6d5b92642c56cc0b1ea7cc1ca22b763cde283cb71dc7194004a005f87812,22/10/2007,,,<75 µm,platform_policy_declared,gda94-geographic-wgs84-identity-v1,LATITUDE,LONGITUDE,TOS,sediment_outlet_top,exact,,VIC / 2007190014,VIC,,,,,,,outlet_catchment,,,,,,,,,,,,,,not_reported,dataset_parameter,official_file_header_and_method_key,,inductively coupled plasma mass spectrometry (ICP-MS; publisher header and method key),,,,,Rec2011_020_110706.csv#row=6,,,,,,"[""de Caritat, P.; Cooper, M. (2011). National Geochemical Survey of Australia: The Geochemical Atlas of Australia: Dataset. Geoscience Australia. https://doi.org/10.11636/Record.2011.020""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/au/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
