record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000024:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000024:U_FT,21:0102:000019:0004:0001:00,U,<0.01,ppb,water,source_native_unspecified_basis,lt,0.01,ppb,44.7503397,-76.1453035,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=25&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000019,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=25&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000025:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000025:U_FT,21:0102:000020:0003:0001:01,U,0.07,ppb,water,source_native_unspecified_basis,reported,0.01,ppb,44.7431526,-76.1887786,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=26&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000020,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=26&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000041:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000041:U_FT,21:0102:000040:0003:0001:02,U,rejected,ppb,water,source_native_unspecified_basis,rejected,0.01,ppb,44.5225083,-76.2373066,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=42&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000040,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=42&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000048:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000048:U_FT,21:0102:000040:0003:0001:01,U,<0.01,ppb,water,source_native_unspecified_basis,lt,0.01,ppb,44.5225083,-76.2373066,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=49&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000040,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=49&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000049:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000049:U_FT,21:0102:000041:0003:0001:00,U,0.05,ppb,water,source_native_unspecified_basis,reported,0.01,ppb,44.5214436,-76.2654589,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=50&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000041,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=50&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000050:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000050:U_FT,21:0102:000041:0004:0001:00,U,0.05,ppb,water,source_native_unspecified_basis,reported,0.01,ppb,44.5214436,-76.2654589,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=51&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000041,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=51&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000061:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000061:U_FT,21:0102:000064:0003:0001:02,U,rejected,ppb,water,source_native_unspecified_basis,rejected,0.01,ppb,44.5259897,-76.5024391,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=62&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000064,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=62&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000062:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000062:U_FT,21:0102:000052:0003:0001:00,U,0.09,ppb,water,source_native_unspecified_basis,reported,0.01,ppb,44.5431317,-76.361652,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=63&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000052,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=63&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000063:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000063:U_FT,21:0102:000052:0004:0001:00,U,0.06,ppb,water,source_native_unspecified_basis,reported,0.01,ppb,44.5431317,-76.361652,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=64&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000052,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=64&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000076:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000076:U_FT,21:0102:000064:0003:0001:01,U,<0.01,ppb,water,source_native_unspecified_basis,lt,0.01,ppb,44.5259897,-76.5024391,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=77&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000064,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=77&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000081:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000081:U_FT,21:0102:000073:0003:0001:02,U,rejected,ppb,water,source_native_unspecified_basis,rejected,0.01,ppb,44.6982155,-76.3190362,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=82&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000073,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=82&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-water:pkg-0136c:21:0182:000083:U_FT:U:0,cdogs-210102-lake-water:pkg-0136c:21:0182:000083:U_FT,21:0102:000070:0003:0001:00,U,0.04,ppb,water,source_native_unspecified_basis,reported,0.01,ppb,44.6797168,-76.4244808,EPSG:4269,,,Fission track analysis,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-water,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=84&column=U_FT,,,,,Fluid (lake),water_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000070,CDoGS survey 21:0102,,,,,,,,lake,untreated,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Fission track analysis,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0136c.xlsx#sheet=1&row=84&column=U_FT,,,,,,"[""Geological Survey of Canada Open File 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
