record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-c33e1da4e424f3d4504862ea692eb9ec81692501dbec8b0719f4f4c580620846,src-d94c981ef39ff6b10d9f09c12baf29e73272b480e879849f372927ab74a39288,AMCS024,As,As,4.958,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.80982667,121.3081933,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,2,ElementalanalysisofsoilinNingboWatershed.csv#row=2,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-edc0f1c05cc181398d34fae2c7527f39985d51a0f77657e350dc7adc15b97d34,src-d94c981ef39ff6b10d9f09c12baf29e73272b480e879849f372927ab74a39288,AMCS024,Cr,Cr,20.785,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.80982667,121.3081933,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,2,ElementalanalysisofsoilinNingboWatershed.csv#row=2,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-5c1f071c64e4c517873699ea7523764094ac1cf6ededa3c2445fe397ac4ca9e5,src-d94c981ef39ff6b10d9f09c12baf29e73272b480e879849f372927ab74a39288,AMCS024,Cu,Cu,18.211,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.80982667,121.3081933,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,2,ElementalanalysisofsoilinNingboWatershed.csv#row=2,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-30c4a12d23b8dcc972959dc8f55b7134db854688651c2f60bdbb22e4701e7d99,src-d94c981ef39ff6b10d9f09c12baf29e73272b480e879849f372927ab74a39288,AMCS024,Ni,Ni,11.749,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.80982667,121.3081933,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,2,ElementalanalysisofsoilinNingboWatershed.csv#row=2,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-b7ee58de2bff6cb9732315018fee98b3884da901ee8420660673bca460f0cac1,src-d94c981ef39ff6b10d9f09c12baf29e73272b480e879849f372927ab74a39288,AMCS024,Pb,Pb,29.62,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.80982667,121.3081933,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,2,ElementalanalysisofsoilinNingboWatershed.csv#row=2,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-0fdf42bb18e435d98f53b57d36837ba6750a43e40edd605b15792cc9dee33635,src-d94c981ef39ff6b10d9f09c12baf29e73272b480e879849f372927ab74a39288,AMCS024,Zn,Zn,159,mg/kg,soil,,xrf_total_dry_topsoil,,,,,29.80982667,121.3081933,,,,,,,XRF,,XRF preparation; details in publisher supporting document,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,2,ElementalanalysisofsoilinNingboWatershed.csv#row=2,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,XRF,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-4a68e9191704c96bf4b5d87e5c9ed0e4652a7746dd9b979538c8c655733c4101,src-bd0f7ee7aac549ea33494eb7883ebaf10a0489bfab9d6d9269d352761759d791,AMCS074,As,As,4.535,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77475333,121.3346267,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,3,ElementalanalysisofsoilinNingboWatershed.csv#row=3,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-3a3833d6065cb2b8a7718fb8cfb587c8254b14d6adadd5027763ecf5d26f724e,src-bd0f7ee7aac549ea33494eb7883ebaf10a0489bfab9d6d9269d352761759d791,AMCS074,Cr,Cr,20.284,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77475333,121.3346267,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,3,ElementalanalysisofsoilinNingboWatershed.csv#row=3,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-71029a49a3c69243caffdac1a9560e33837f5b026508e9903ffe9d0bb21cd268,src-bd0f7ee7aac549ea33494eb7883ebaf10a0489bfab9d6d9269d352761759d791,AMCS074,Cu,Cu,33.84,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77475333,121.3346267,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,3,ElementalanalysisofsoilinNingboWatershed.csv#row=3,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-c6d752863e57bb96e2b50af48d022743e04ffadbb17a24d4e8e42659140c2198,src-bd0f7ee7aac549ea33494eb7883ebaf10a0489bfab9d6d9269d352761759d791,AMCS074,Ni,Ni,8.858,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77475333,121.3346267,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,3,ElementalanalysisofsoilinNingboWatershed.csv#row=3,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-83cc6b5dba082eff1edafc53d9111dc782e60e2f13c6c3fbc2c97df5cfaaee80,src-bd0f7ee7aac549ea33494eb7883ebaf10a0489bfab9d6d9269d352761759d791,AMCS074,Pb,Pb,28.04,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77475333,121.3346267,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,3,ElementalanalysisofsoilinNingboWatershed.csv#row=3,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-ceec5ddca269a1cf0344407d12f6d1558dd56cae33ce20b432b538977951d343,src-bd0f7ee7aac549ea33494eb7883ebaf10a0489bfab9d6d9269d352761759d791,AMCS074,Zn,Zn,185,mg/kg,soil,,xrf_total_dry_topsoil,,,,,29.77475333,121.3346267,,,,,,,XRF,,XRF preparation; details in publisher supporting document,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,3,ElementalanalysisofsoilinNingboWatershed.csv#row=3,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,XRF,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-6c2cece2369cd4c89f5f1bd61389f6259e4ed9574883feaa971c419c262be60d,src-72463fae2f1c96af1ab258cc10ff5d161a643993be283329e8b4c892d153361d,AMCS075,As,As,4.19,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77613833,121.3371467,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,4,ElementalanalysisofsoilinNingboWatershed.csv#row=4,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8c08a3722e27b96fea0fb2910ef820b4a9f6198c58385d7db938dd9d64689c14,src-72463fae2f1c96af1ab258cc10ff5d161a643993be283329e8b4c892d153361d,AMCS075,Cr,Cr,20.975,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77613833,121.3371467,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,4,ElementalanalysisofsoilinNingboWatershed.csv#row=4,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-dce2ae678edf4fd4d6cc97439b72e54a04af3d328228ccc78eeb19ace0935164,src-72463fae2f1c96af1ab258cc10ff5d161a643993be283329e8b4c892d153361d,AMCS075,Cu,Cu,49.577,mg/kg,soil,,nitric_acid_hydrogen_peroxide_extractable_dry_topsoil,,,,,29.77613833,121.3371467,,,,,,,ICP-MS,,69% nitric acid and 30% hydrogen peroxide extraction/digestion,,OGL-UK-3.0,official_curated,eidc-ningbo-soil,"Elemental analysis of soil in the Ningbo watershed, China",10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f,2019-09-02,ElementalanalysisofsoilinNingboWatershed.csv,4,ElementalanalysisofsoilinNingboWatershed.csv#row=4,https://data-package.ceh.ac.uk/data/9c2e8b85-48ab-48c9-b69d-dd676a5d086f.zip,4143a29a74e590db081b8d832ff4e7861188e9fcd1675a52425643b5d113993a,,0,0.20,"freeze-dried, sieved and milled topsoil",,,,,composite topsoil 0-20 cm,soil_topsoil,dataset_constant,,Ningbo Zhangxi catchment,Ningbo Zhangxi catchment,,,,,,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_analyte,publisher_supporting_document_and_csv_method_suffix,,ICP-MS,,,,,ElementalanalysisofsoilinNingboWatershed.rtf#methods,doi:10.1007/s12403-018-0290-1,,,doi:10.1007/s12403-018-0290-1,10.1007/s12403-018-0290-1,"[""Meharg et al. (2019), Elemental analysis of soil in the Ningbo watershed, China, NERC EIDC, https://doi.org/10.5285/9c2e8b85-48ab-48c9-b69d-dd676a5d086f""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
